"Grouped Product Configuration","Grouped Product Configuration"
"Extension Enabled","Extension Enabled"
"Yes","Yes"
"No","No"
"Save Settings","Save Settings"
"Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:","Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:"
"Settings have been saved","Settings have been saved"
"Settings have not been save","Settings have not been save"
"The extension has been registered","The extension has been registered"
"Wrong s/n!","Wrong s/n!"
"Current Configuration Scope:","Current Configuration Scope:"
"Options","Options"
"Show Images for sub-products","Show Images for sub-products"
"Make sub-products clickable","Make sub-products clickable"
"Check Box","Check Box"
"Input Box","Input Box"
"Show QTY for Associated Products as","Show QTY for Associated Products as"